Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

01:28:06 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:28:11 PM  all   88.14    0.00    8.40    0.00    0.00    0.20    0.00    0.00    0.00    3.25
01:28:16 PM  all   91.45    0.00    8.00    0.00    0.00    0.10    0.00    0.00    0.00    0.45
01:28:21 PM  all   91.45    0.00    8.40    0.00    0.00    0.00    0.00    0.00    0.00    0.15
01:28:26 PM  all   91.60    0.00    7.85    0.00    0.00    0.05    0.00    0.00    0.00    0.50
01:28:31 PM  all   91.69    0.00    7.91    0.00    0.00    0.05    0.00    0.00    0.00    0.35
01:28:36 PM  all   91.30    0.00    8.10    0.00    0.00    0.10    0.00    0.00    0.00    0.50
01:28:41 PM  all   91.20    0.00    8.50    0.00    0.00    0.10    0.00    0.00    0.00    0.20
01:28:46 PM  all   92.19    0.00    7.61    0.00    0.00    0.00    0.00    0.00    0.00    0.20
01:28:51 PM  all   91.54    0.00    8.06    0.00    0.00    0.05    0.00    0.00    0.00    0.35
01:28:56 PM  all   91.46    0.00    7.94    0.00    0.00    0.15    0.00    0.00    0.00    0.45
01:29:01 PM  all   91.94    0.00    7.76    0.00    0.00    0.05    0.00    0.00    0.00    0.25
01:29:06 PM  all   91.40    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00    0.35
Average:     all   91.28    0.00    8.07    0.00    0.00    0.07    0.00    0.00    0.00    0.58
