Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

01:23:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:23:44 PM  all   89.09    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00    2.90
01:23:49 PM  all   91.89    0.00    7.71    0.00    0.00    0.05    0.00    0.00    0.00    0.35
01:23:54 PM  all   91.85    0.00    7.90    0.00    0.00    0.10    0.00    0.00    0.00    0.15
01:23:59 PM  all   91.99    0.00    7.76    0.00    0.00    0.05    0.00    0.00    0.00    0.20
01:24:04 PM  all   91.61    0.00    7.99    0.00    0.00    0.10    0.00    0.00    0.00    0.30
01:24:09 PM  all   91.95    0.00    7.75    0.00    0.00    0.10    0.00    0.00    0.00    0.20
01:24:14 PM  all   91.75    0.00    7.65    0.00    0.00    0.05    0.00    0.00    0.00    0.55
01:24:19 PM  all   92.14    0.00    7.61    0.00    0.00    0.05    0.00    0.00    0.00    0.20
01:24:24 PM  all   91.70    0.00    8.05    0.00    0.00    0.10    0.00    0.00    0.00    0.15
01:24:29 PM  all   91.89    0.00    7.51    0.00    0.00    0.05    0.00    0.00    0.00    0.55
01:24:34 PM  all   91.45    0.00    8.20    0.00    0.00    0.10    0.00    0.00    0.00    0.25
01:24:39 PM  all   91.65    0.00    8.15    0.00    0.00    0.05    0.00    0.00    0.00    0.15
Average:     all   91.58    0.00    7.86    0.00    0.00    0.07    0.00    0.00    0.00    0.50
