Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

01:54:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:54:52 PM  all   13.86   74.57    8.31    0.00    0.00    0.15    0.00    0.00    0.00    3.10
01:54:57 PM  all   12.84   79.06    7.70    0.00    0.00    0.00    0.00    0.00    0.00    0.40
01:55:02 PM  all   12.56   79.58    7.56    0.00    0.00    0.05    0.00    0.00    0.00    0.25
01:55:07 PM  all   12.65   79.15    7.80    0.00    0.00    0.05    0.00    0.00    0.00    0.35
01:55:12 PM  all   12.06   79.38    8.21    0.00    0.00    0.00    0.00    0.00    0.00    0.35
01:55:17 PM  all   12.54   79.02    8.14    0.00    0.00    0.10    0.00    0.00    0.00    0.20
01:55:22 PM  all   12.61   78.88    8.31    0.00    0.00    0.00    0.00    0.00    0.00    0.20
01:55:27 PM  all   12.62   79.17    7.76    0.00    0.00    0.05    0.00    0.00    0.00    0.40
01:55:32 PM  all   12.70   79.15    7.85    0.00    0.00    0.05    0.00    0.00    0.00    0.25
01:55:37 PM  all   12.86   79.34    7.60    0.00    0.00    0.00    0.00    0.00    0.00    0.20
01:55:42 PM  all   12.56   79.28    7.81    0.00    0.00    0.05    0.00    0.00    0.00    0.30
01:55:47 PM  all   12.60   79.25    7.90    0.00    0.00    0.05    0.00    0.00    0.00    0.20
Average:     all   12.71   78.82    7.91    0.00    0.00    0.05    0.00    0.00    0.00    0.52
