Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:17:46 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:17:51 AM  all   88.84    0.00    8.00    0.00    0.00    0.10    0.00    0.00    0.00    3.05
06:17:56 AM  all   91.75    0.00    7.95    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:18:01 AM  all   91.95    0.00    7.85    0.00    0.00    0.00    0.00    0.00    0.00    0.20
06:18:06 AM  all   91.40    0.00    8.15    0.00    0.00    0.10    0.00    0.00    0.00    0.35
06:18:11 AM  all   92.04    0.00    7.71    0.00    0.00    0.00    0.00    0.00    0.00    0.25
06:18:16 AM  all   91.76    0.00    7.94    0.00    0.00    0.10    0.00    0.00    0.00    0.20
06:18:21 AM  all   92.13    0.00    7.82    0.00    0.00    0.00    0.00    0.00    0.00    0.05
06:18:26 AM  all   91.75    0.00    8.00    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:18:31 AM  all   91.75    0.00    7.95    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:18:36 AM  all   91.56    0.00    8.09    0.00    0.00    0.10    0.00    0.00    0.00    0.25
06:18:41 AM  all   91.93    0.00    7.97    0.00    0.00    0.00    0.00    0.00    0.00    0.10
06:18:46 AM  all   91.95    0.00    7.90    0.00    0.00    0.00    0.00    0.00    0.00    0.15
Average:     all   91.57    0.00    7.94    0.00    0.00    0.05    0.00    0.00    0.00    0.44
