Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:50:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:50:55 AM  all   89.49    0.00    7.60    0.00    0.00    0.05    0.00    0.00    0.00    2.85
06:51:00 AM  all   91.39    0.00    8.06    0.00    0.00    0.05    0.00    0.00    0.00    0.50
06:51:05 AM  all   91.84    0.00    7.91    0.00    0.00    0.10    0.00    0.00    0.00    0.15
06:51:10 AM  all   91.76    0.00    7.89    0.00    0.00    0.00    0.00    0.00    0.00    0.35
06:51:15 AM  all   91.93    0.00    7.77    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:51:20 AM  all   91.60    0.00    8.20    0.00    0.00    0.05    0.00    0.00    0.00    0.15
06:51:25 AM  all   91.65    0.00    8.10    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:51:30 AM  all   92.14    0.00    7.71    0.00    0.00    0.05    0.00    0.00    0.00    0.10
06:51:35 AM  all   91.86    0.00    7.89    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:51:40 AM  all   91.69    0.00    8.06    0.00    0.00    0.00    0.00    0.00    0.00    0.25
06:51:45 AM  all   92.10    0.00    7.60    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:51:50 AM  all   91.60    0.00    8.00    0.00    0.00    0.15    0.00    0.00    0.00    0.25
Average:     all   91.59    0.00    7.90    0.00    0.00    0.05    0.00    0.00    0.00    0.46
