Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:32:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:32:53 AM  all   89.19    0.00    7.70    0.00    0.00    0.00    0.00    0.00    0.00    3.10
06:32:58 AM  all   91.69    0.00    8.06    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:33:03 AM  all   91.89    0.00    7.86    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:33:08 AM  all   91.91    0.00    7.79    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:33:13 AM  all   91.45    0.00    8.25    0.00    0.00    0.10    0.00    0.00    0.00    0.20
06:33:18 AM  all   91.29    0.00    8.26    0.00    0.00    0.05    0.00    0.00    0.00    0.40
06:33:23 AM  all   92.00    0.00    7.90    0.00    0.00    0.05    0.00    0.00    0.00    0.05
06:33:28 AM  all   92.10    0.00    7.60    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:33:33 AM  all   91.75    0.00    8.00    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:33:38 AM  all   91.70    0.00    8.05    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:33:43 AM  all   91.75    0.00    7.90    0.00    0.00    0.00    0.00    0.00    0.00    0.35
06:33:48 AM  all   91.99    0.00    7.91    0.00    0.00    0.00    0.00    0.00    0.00    0.10
Average:     all   91.56    0.00    7.94    0.00    0.00    0.04    0.00    0.00    0.00    0.46
