Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:08:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:09:01 AM  all   88.29    0.00    8.06    0.00    0.00    0.10    0.00    0.00    0.00    3.55
06:09:06 AM  all   91.60    0.00    8.05    0.00    0.00    0.05    0.00    0.00    0.00    0.30
06:09:11 AM  all   91.45    0.00    8.25    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:09:16 AM  all   91.94    0.00    7.61    0.00    0.00    0.05    0.00    0.00    0.00    0.40
06:09:21 AM  all   91.64    0.05    7.91    0.00    0.00    0.10    0.00    0.00    0.00    0.30
06:09:26 AM  all   91.95    0.00    7.75    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:09:31 AM  all   91.98    0.00    7.82    0.00    0.00    0.00    0.00    0.00    0.00    0.20
06:09:36 AM  all   91.65    0.00    7.85    0.00    0.00    0.10    0.00    0.00    0.00    0.40
06:09:41 AM  all   92.14    0.00    7.71    0.00    0.00    0.05    0.00    0.00    0.00    0.10
06:09:46 AM  all   91.56    0.00    7.84    0.00    0.00    0.15    0.00    0.00    0.00    0.45
06:09:51 AM  all   92.05    0.00    7.70    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:09:56 AM  all   92.18    0.00    7.62    0.00    0.00    0.00    0.00    0.00    0.00    0.20
Average:     all   91.54    0.00    7.85    0.00    0.00    0.06    0.00    0.00    0.00    0.55
