Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:46:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:46:34 AM  all   89.63    0.00    7.46    0.00    0.00    0.05    0.00    0.00    0.00    2.86
06:46:39 AM  all   91.55    0.00    8.10    0.00    0.00    0.10    0.00    0.00    0.00    0.25
06:46:44 AM  all   92.00    0.00    7.85    0.00    0.00    0.00    0.00    0.00    0.00    0.15
06:46:49 AM  all   91.85    0.00    7.90    0.00    0.00    0.10    0.00    0.00    0.00    0.15
06:46:54 AM  all   92.15    0.00    7.70    0.00    0.00    0.00    0.00    0.00    0.00    0.15
06:46:59 AM  all   91.45    0.00    8.10    0.00    0.00    0.10    0.00    0.00    0.00    0.35
06:47:04 AM  all   91.69    0.00    8.11    0.00    0.00    0.00    0.00    0.00    0.00    0.20
06:47:09 AM  all   91.70    0.00    8.00    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:47:14 AM  all   91.70    0.00    8.00    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:47:19 AM  all   91.80    0.00    7.90    0.00    0.00    0.10    0.00    0.00    0.00    0.20
06:47:24 AM  all   92.04    0.00    7.81    0.00    0.00    0.05    0.00    0.00    0.00    0.10
06:47:29 AM  all   92.00    0.00    7.80    0.00    0.00    0.00    0.00    0.00    0.00    0.20
Average:     all   91.63    0.00    7.90    0.00    0.00    0.05    0.00    0.00    0.00    0.43
