Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:29:57 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:30:02 AM  all   89.06    0.00    7.94    0.00    0.00    0.05    0.00    0.00    0.00    2.95
06:30:07 AM  all   92.30    0.00    7.45    0.00    0.00    0.10    0.00    0.00    0.00    0.15
06:30:12 AM  all   91.95    0.00    7.80    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:30:17 AM  all   91.84    0.00    7.91    0.00    0.00    0.00    0.00    0.00    0.00    0.25
06:30:22 AM  all   92.05    0.00    7.70    0.00    0.00    0.15    0.00    0.00    0.00    0.10
06:30:27 AM  all   91.90    0.00    7.80    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:30:32 AM  all   91.89    0.00    7.96    0.00    0.00    0.00    0.00    0.00    0.00    0.15
06:30:37 AM  all   91.95    0.00    7.80    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:30:42 AM  all   91.74    0.00    8.01    0.00    0.00    0.00    0.00    0.00    0.00    0.25
06:30:47 AM  all   92.15    0.00    7.65    0.00    0.00    0.10    0.00    0.00    0.00    0.10
06:30:52 AM  all   92.30    0.00    7.45    0.00    0.00    0.00    0.00    0.00    0.00    0.25
06:30:57 AM  all   91.64    0.00    8.01    0.00    0.00    0.15    0.00    0.00    0.00    0.20
Average:     all   91.73    0.00    7.79    0.00    0.00    0.06    0.00    0.00    0.00    0.42
