Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:23:37 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:23:42 AM  all   11.42   76.72    9.06    0.00    0.00    0.00    0.00    0.00    0.00    2.80
06:23:47 AM  all   11.28   80.04    8.28    0.00    0.00    0.10    0.00    0.00    0.00    0.30
06:23:52 AM  all   11.82   80.51    7.46    0.00    0.00    0.00    0.00    0.00    0.00    0.20
06:23:57 AM  all   10.44   81.41    7.90    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:24:02 AM  all   11.02   81.46    7.46    0.00    0.00    0.00    0.00    0.00    0.00    0.05
06:24:07 AM  all   11.33   80.43    7.84    0.00    0.00    0.05    0.00    0.00    0.00    0.35
06:24:12 AM  all   11.14   81.11    7.65    0.00    0.00    0.05    0.00    0.00    0.00    0.05
06:24:17 AM  all   11.32   81.06    7.46    0.00    0.00    0.05    0.00    0.00    0.00    0.10
06:24:22 AM  all   10.95   81.00    7.80    0.00    0.00    0.00    0.00    0.00    0.00    0.25
06:24:27 AM  all   11.26   80.93    7.66    0.00    0.00    0.00    0.00    0.00    0.00    0.15
06:24:32 AM  all   11.04   81.42    7.29    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:24:37 AM  all   11.36   80.53    7.91    0.00    0.00    0.05    0.00    0.00    0.00    0.15
Average:     all   11.20   80.55    7.82    0.00    0.00    0.03    0.00    0.00    0.00    0.40
