Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:59:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:59:43 AM  all   11.66   75.98    9.61    0.00    0.00    0.05    0.00    0.00    0.00    2.70
06:59:48 AM  all   11.59   80.02    8.14    0.00    0.00    0.10    0.00    0.00    0.00    0.15
06:59:53 AM  all   10.86   81.23    7.61    0.00    0.00    0.00    0.00    0.00    0.00    0.30
06:59:58 AM  all   10.50   81.35    7.95    0.00    0.00    0.05    0.00    0.00    0.00    0.15
07:00:03 AM  all   10.71   81.33    7.76    0.00    0.00    0.05    0.00    0.00    0.00    0.15
07:00:08 AM  all   11.11   81.19    7.35    0.00    0.00    0.00    0.00    0.00    0.00    0.35
07:00:13 AM  all   11.20   80.95    7.60    0.00    0.00    0.10    0.00    0.00    0.00    0.15
07:00:18 AM  all   10.90   80.95    7.95    0.00    0.00    0.00    0.00    0.00    0.00    0.20
07:00:23 AM  all   11.26   80.64    7.80    0.00    0.00    0.00    0.00    0.00    0.00    0.30
07:00:28 AM  all   11.35   80.95    7.55    0.00    0.00    0.05    0.00    0.00    0.00    0.10
07:00:33 AM  all   10.86   80.94    7.95    0.00    0.00    0.05    0.00    0.00    0.00    0.20
07:00:38 AM  all   11.05   81.20    7.40    0.00    0.00    0.10    0.00    0.00    0.00    0.25
Average:     all   11.09   80.56    7.89    0.00    0.00    0.05    0.00    0.00    0.00    0.42
