Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:40:09 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:40:14 AM  all   11.45   76.15    9.00    0.00    0.00    0.05    0.00    0.00    0.00    3.35
06:40:19 AM  all   10.96   80.64    8.20    0.00    0.00    0.05    0.00    0.00    0.00    0.15
06:40:24 AM  all   11.46   80.14    8.05    0.00    0.00    0.05    0.00    0.00    0.00    0.30
06:40:29 AM  all   10.69   81.11    7.95    0.00    0.00    0.00    0.00    0.00    0.00    0.25
06:40:34 AM  all   11.00   81.35    7.45    0.00    0.00    0.05    0.00    0.00    0.00    0.15
06:40:39 AM  all   11.14   81.11    7.55    0.00    0.00    0.05    0.00    0.00    0.00    0.15
06:40:44 AM  all   10.87   81.11    7.92    0.00    0.00    0.00    0.00    0.00    0.00    0.10
06:40:49 AM  all   11.38   80.63    7.79    0.00    0.00    0.00    0.00    0.00    0.00    0.20
06:40:54 AM  all   11.21   80.88    7.76    0.00    0.00    0.05    0.00    0.00    0.00    0.10
06:40:59 AM  all   11.14   81.16    7.50    0.00    0.00    0.05    0.00    0.00    0.00    0.15
06:41:04 AM  all   10.92   81.41    7.57    0.00    0.00    0.00    0.00    0.00    0.00    0.10
06:41:09 AM  all   10.93   81.34    7.39    0.00    0.00    0.10    0.00    0.00    0.00    0.25
Average:     all   11.10   80.59    7.84    0.00    0.00    0.04    0.00    0.00    0.00    0.44
