Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

02:22:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:22:24 PM  all   89.27    0.00    7.54    0.00    0.00    0.15    0.00    0.00    0.00    3.05
02:22:29 PM  all   91.25    0.00    8.45    0.00    0.00    0.05    0.00    0.00    0.00    0.25
02:22:34 PM  all   91.65    0.00    8.00    0.00    0.00    0.05    0.00    0.00    0.00    0.30
02:22:39 PM  all   91.69    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00    0.15
02:22:44 PM  all   91.70    0.00    7.90    0.00    0.00    0.10    0.00    0.00    0.00    0.30
02:22:49 PM  all   92.04    0.00    7.71    0.00    0.00    0.05    0.00    0.00    0.00    0.20
02:22:54 PM  all   91.26    0.00    8.24    0.00    0.00    0.10    0.00    0.00    0.00    0.40
02:22:59 PM  all   91.98    0.00    7.97    0.00    0.00    0.00    0.00    0.00    0.00    0.05
02:23:04 PM  all   91.55    0.00    8.10    0.00    0.00    0.10    0.00    0.00    0.00    0.25
02:23:09 PM  all   91.45    0.00    8.30    0.00    0.00    0.05    0.00    0.00    0.00    0.20
02:23:14 PM  all   91.85    0.00    7.85    0.00    0.00    0.00    0.00    0.00    0.00    0.30
02:23:19 PM  all   91.70    0.00    8.00    0.00    0.00    0.10    0.00    0.00    0.00    0.20
Average:     all   91.45    0.00    8.02    0.00    0.00    0.06    0.00    0.00    0.00    0.47
