Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

02:14:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:14:55 PM  all   88.75    0.00    8.15    0.00    0.00    0.00    0.00    0.00    0.00    3.10
02:15:00 PM  all   91.54    0.00    7.96    0.00    0.00    0.15    0.00    0.00    0.00    0.35
02:15:05 PM  all   91.65    0.00    7.95    0.00    0.00    0.05    0.00    0.00    0.00    0.35
02:15:10 PM  all   91.65    0.00    7.95    0.00    0.00    0.05    0.00    0.00    0.00    0.35
02:15:15 PM  all   91.69    0.00    8.01    0.00    0.00    0.10    0.00    0.00    0.00    0.20
02:15:20 PM  all   91.54    0.00    8.11    0.00    0.00    0.05    0.00    0.00    0.00    0.30
02:15:25 PM  all   91.76    0.00    7.89    0.00    0.00    0.10    0.00    0.00    0.00    0.25
02:15:30 PM  all   91.85    0.00    7.70    0.00    0.00    0.05    0.00    0.00    0.00    0.40
02:15:35 PM  all   91.89    0.00    7.86    0.00    0.00    0.05    0.00    0.00    0.00    0.20
02:15:40 PM  all   92.10    0.00    7.65    0.00    0.00    0.05    0.00    0.00    0.00    0.20
02:15:45 PM  all   91.55    0.00    8.00    0.00    0.00    0.15    0.00    0.00    0.00    0.30
02:15:50 PM  all   91.90    0.00    7.70    0.00    0.00    0.00    0.00    0.00    0.00    0.40
Average:     all   91.49    0.00    7.91    0.00    0.00    0.07    0.00    0.00    0.00    0.53
