Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

02:28:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:28:33 PM  all   25.08    0.00    5.60    0.00    0.00    1.27    0.00    0.00    0.00   68.06
02:28:38 PM  all   23.68    0.00    5.28    0.00    0.00    1.63    0.00    0.00    0.00   69.41
02:28:43 PM  all   23.22    0.00    4.94    0.00    0.00    1.43    0.00    0.00    0.00   70.42
02:28:48 PM  all   23.33    0.00    4.84    0.00    0.00    1.53    0.00    0.00    0.00   70.30
02:28:53 PM  all   23.69    0.00    5.15    0.00    0.00    1.63    0.00    0.00    0.00   69.54
02:28:58 PM  all   24.81    0.00    4.93    0.00    0.00    1.73    0.00    0.00    0.00   68.53
02:29:03 PM  all   23.41    0.00    5.05    0.00    0.00    1.43    0.00    0.00    0.00   70.12
02:29:08 PM  all   24.15    0.00    4.94    0.00    0.00    1.68    0.00    0.00    0.00   69.23
02:29:13 PM  all   23.63    0.00    5.03    0.00    0.00    1.52    0.00    0.00    0.00   69.82
02:29:18 PM  all   24.06    0.00    5.05    0.05    0.00    1.53    0.00    0.00    0.00   69.32
02:29:23 PM  all   23.94    0.00    4.90    0.00    0.00    1.43    0.00    0.00    0.00   69.73
02:29:28 PM  all   23.87    0.00    4.94    0.00    0.00    1.53    0.00    0.00    0.00   69.67
Average:     all   23.90    0.00    5.05    0.00    0.00    1.53    0.00    0.00    0.00   69.51
