Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

03:06:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:06:16 PM  all   27.08    0.00   10.83    0.05    0.00    1.64    0.00    0.00    0.00   60.40
03:06:21 PM  all   25.08    0.00   10.82    0.00    0.00    2.00    0.00    0.00    0.00   62.10
03:06:26 PM  all   25.43    0.00   11.18    0.00    0.00    1.84    0.00    0.00    0.00   61.54
03:06:31 PM  all   27.10    0.00   11.18    0.00    0.00    2.01    0.00    0.00    0.00   59.71
03:06:36 PM  all   25.90    0.00   11.18    0.00    0.00    1.85    0.00    0.00    0.00   61.08
03:06:41 PM  all   26.77    0.00   11.15    0.00    0.00    1.75    0.00    0.00    0.00   60.33
03:06:46 PM  all   26.60    0.00   11.00    0.00    0.00    1.99    0.00    0.00    0.00   60.41
03:06:51 PM  all   26.79    0.00   11.58    0.00    0.00    1.95    0.00    0.00    0.00   59.68
03:06:56 PM  all   26.77    0.00   11.13    0.00    0.00    1.74    0.00    0.00    0.00   60.36
03:07:01 PM  all   26.08    0.00   10.86    0.00    0.00    1.64    0.00    0.00    0.00   61.42
03:07:06 PM  all   26.91    0.00   11.46    0.00    0.00    1.69    0.00    0.00    0.00   59.95
03:07:11 PM  all   25.38    0.00   10.92    0.00    0.00    1.69    0.00    0.00    0.00   62.00
Average:     all   26.32    0.00   11.11    0.00    0.00    1.81    0.00    0.00    0.00   60.75
