Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

03:04:16 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:04:21 PM  all   26.21    0.00    9.62    0.00    0.00    2.04    0.00    0.00    0.00   62.14
03:04:26 PM  all   26.10    0.00    9.75    0.00    0.00    1.99    0.00    0.00    0.00   62.16
03:04:31 PM  all   24.88    0.00    9.42    0.00    0.00    2.15    0.00    0.00    0.00   63.54
03:04:36 PM  all   25.04    0.00   10.05    0.00    0.00    2.24    0.00    0.00    0.00   62.67
03:04:41 PM  all   25.40    0.00    9.63    0.00    0.00    2.15    0.00    0.00    0.00   62.83
03:04:46 PM  all   24.69    0.00    9.43    0.00    0.00    2.25    0.00    0.00    0.00   63.63
03:04:51 PM  all   24.90    0.00   10.02    0.00    0.00    2.25    0.00    0.00    0.00   62.83
03:04:56 PM  all   25.46    0.00    9.53    0.00    0.00    2.15    0.00    0.00    0.00   62.86
03:05:01 PM  all   25.05    0.00    9.68    0.00    0.00    2.15    0.00    0.00    0.00   63.11
03:05:06 PM  all   24.30    0.00    9.60    0.00    0.00    2.19    0.00    0.00    0.00   63.91
03:05:11 PM  all   25.41    0.00    9.64    0.00    0.00    2.24    0.00    0.00    0.00   62.70
03:05:16 PM  all   23.94    0.00    9.65    0.00    0.00    1.94    0.00    0.00    0.00   64.47
Average:     all   25.11    0.00    9.67    0.00    0.00    2.15    0.00    0.00    0.00   63.07
