Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

03:11:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:11:42 PM  all   21.97    3.36    7.93    0.00    0.00    1.27    0.00    0.00    0.00   65.46
03:11:47 PM  all   20.93    3.52    7.50    0.00    0.00    1.38    0.00    0.00    0.00   66.67
03:11:52 PM  all   20.70    3.56    7.27    0.00    0.00    1.53    0.00    0.00    0.00   66.94
03:11:57 PM  all   20.84    3.46    7.49    0.00    0.00    1.38    0.00    0.00    0.00   66.84
03:12:02 PM  all   20.94    3.58    7.15    0.00    0.00    1.38    0.00    0.00    0.00   66.96
03:12:07 PM  all   20.65    3.51    6.87    0.00    0.00    1.32    0.00    0.00    0.00   67.65
03:12:12 PM  all   20.57    3.40    7.06    0.00    0.00    1.47    0.00    0.00    0.00   67.50
03:12:17 PM  all   20.88    3.46    7.42    0.00    0.00    1.42    0.00    0.00    0.00   66.82
03:12:22 PM  all   21.27    3.66    7.23    0.00    0.00    1.48    0.00    0.00    0.00   66.36
03:12:27 PM  all   21.28    3.27    7.30    0.00    0.00    1.43    0.00    0.00    0.00   66.73
03:12:32 PM  all   20.86    3.57    7.34    0.00    0.00    1.48    0.00    0.00    0.00   66.75
03:12:37 PM  all   21.11    3.72    7.60    0.00    0.00    1.22    0.00    0.00    0.00   66.34
Average:     all   21.00    3.51    7.35    0.00    0.00    1.40    0.00    0.00    0.00   66.75
