Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

11:18:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:19:01 AM  all   27.52    0.00   14.10    0.00    0.00    1.44    0.00    0.00    0.00   56.95
11:19:06 AM  all   26.36    0.00   13.26    0.00    0.00    1.59    0.00    0.00    0.00   58.79
11:19:11 AM  all   26.62    0.00   14.00    0.00    0.00    1.79    0.00    0.00    0.00   57.59
11:19:16 AM  all   25.78    0.00   13.76    0.00    0.00    1.74    0.00    0.00    0.00   58.72
11:19:21 AM  all   26.33    0.00   13.88    0.00    0.00    1.54    0.00    0.00    0.00   58.25
11:19:26 AM  all   26.46    0.00   13.28    0.00    0.00    1.54    0.00    0.00    0.00   58.72
11:19:31 AM  all   26.87    0.00   14.07    0.00    0.00    1.64    0.00    0.00    0.00   57.42
11:19:36 AM  all   26.41    0.00   13.69    0.00    0.00    1.54    0.00    0.00    0.00   58.36
11:19:41 AM  all   25.92    0.00   13.17    0.00    0.00    1.64    0.00    0.00    0.00   59.27
11:19:46 AM  all   26.32    0.00   13.85    0.00    0.00    1.49    0.00    0.00    0.00   58.34
11:19:51 AM  all   25.87    0.00   13.11    0.00    0.00    1.59    0.00    0.00    0.00   59.43
11:19:56 AM  all   26.00    0.00   13.62    0.00    0.00    1.49    0.00    0.00    0.00   58.89
Average:     all   26.37    0.00   13.65    0.00    0.00    1.58    0.00    0.00    0.00   58.39
