Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

11:14:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:14:25 AM  all   25.64    0.00   12.10    0.00    0.00    1.94    0.00    0.00    0.00   60.32
11:14:30 AM  all   24.54    0.00   12.42    0.00    0.00    1.95    0.00    0.00    0.00   61.09
11:14:35 AM  all   24.85    0.00   12.50    0.00    0.00    1.90    0.00    0.00    0.00   60.76
11:14:40 AM  all   24.53    0.00   12.54    0.00    0.00    2.05    0.00    0.00    0.00   60.88
11:14:45 AM  all   24.82    0.00   12.33    0.00    0.00    1.94    0.00    0.00    0.00   60.90
11:14:50 AM  all   24.35    0.00   12.25    0.00    0.00    2.05    0.00    0.00    0.00   61.35
11:14:55 AM  all   24.46    0.00   12.69    0.00    0.00    2.15    0.00    0.00    0.00   60.70
11:15:00 AM  all   24.36    0.00   12.23    0.00    0.00    1.94    0.00    0.00    0.00   61.46
11:15:05 AM  all   24.26    0.00   12.56    0.00    0.00    1.94    0.00    0.00    0.00   61.24
11:15:10 AM  all   24.51    0.00   12.41    0.05    0.00    1.74    0.00    0.00    0.00   61.28
11:15:15 AM  all   25.23    0.00   12.41    0.00    0.00    1.89    0.00    0.00    0.00   60.47
11:15:20 AM  all   24.14    0.00   12.10    0.00    0.00    1.79    0.00    0.00    0.00   61.97
Average:     all   24.64    0.00   12.38    0.00    0.00    1.94    0.00    0.00    0.00   61.03
