Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

11:23:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:23:23 AM  all   24.31    0.00    5.56    0.00    0.00    1.38    0.00    0.00    0.00   68.76
11:23:28 AM  all   22.69    0.00    4.68    0.00    0.00    1.48    0.00    0.00    0.00   71.16
11:23:33 AM  all   23.21    0.00    4.44    0.00    0.00    1.38    0.00    0.00    0.00   70.97
11:23:38 AM  all   23.21    0.00    4.59    0.00    0.00    1.58    0.00    0.00    0.00   70.61
11:23:43 AM  all   22.03    0.00    4.59    0.00    0.00    1.38    0.00    0.00    0.00   72.00
11:23:48 AM  all   21.50    0.00    4.74    0.00    0.00    1.43    0.00    0.00    0.00   72.34
11:23:53 AM  all   22.97    0.00    4.54    0.00    0.00    1.48    0.00    0.00    0.00   71.01
11:23:58 AM  all   23.10    0.00    4.68    0.00    0.00    1.48    0.00    0.00    0.00   70.74
11:24:03 AM  all   23.57    0.00    4.79    0.00    0.00    1.58    0.00    0.00    0.00   70.06
11:24:08 AM  all   22.95    0.00    4.74    0.00    0.00    1.33    0.00    0.00    0.00   70.98
11:24:13 AM  all   22.76    0.00    4.69    0.00    0.00    1.53    0.00    0.00    0.00   71.02
11:24:18 AM  all   23.13    0.00    4.79    0.00    0.00    1.53    0.00    0.00    0.00   70.56
Average:     all   22.95    0.00    4.74    0.00    0.00    1.46    0.00    0.00    0.00   70.85
