Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

07:42:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:42:58 AM  all   79.65    0.00   17.25    0.00    0.00    0.00    0.00    0.00    0.00    3.10
07:43:03 AM  all   81.74    0.00   18.06    0.00    0.00    0.10    0.00    0.00    0.00    0.10
07:43:08 AM  all   82.12    0.00   17.73    0.00    0.00    0.05    0.00    0.00    0.00    0.10
07:43:13 AM  all   82.04    0.00   17.81    0.00    0.00    0.05    0.00    0.00    0.00    0.10
07:43:18 AM  all   81.88    0.00   17.92    0.00    0.00    0.15    0.00    0.00    0.00    0.05
07:43:23 AM  all   82.34    0.00   17.61    0.00    0.00    0.00    0.00    0.00    0.00    0.05
07:43:28 AM  all   82.48    0.00   17.37    0.00    0.00    0.05    0.00    0.00    0.00    0.10
07:43:33 AM  all   82.42    0.00   17.43    0.00    0.00    0.10    0.00    0.00    0.00    0.05
07:43:38 AM  all   82.00    0.00   17.85    0.00    0.00    0.10    0.00    0.00    0.00    0.05
07:43:43 AM  all   82.10    0.00   17.70    0.00    0.00    0.05    0.00    0.00    0.00    0.15
07:43:48 AM  all   82.19    0.00   17.76    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:43:53 AM  all   82.34    0.00   17.56    0.00    0.00    0.10    0.00    0.00    0.00    0.00
Average:     all   81.94    0.00   17.67    0.00    0.00    0.07    0.00    0.00    0.00    0.32
