Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

07:37:44 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:37:49 AM  all   79.80    0.00   17.20    0.00    0.00    0.10    0.00    0.00    0.00    2.90
07:37:54 AM  all   82.58    0.00   17.22    0.00    0.00    0.10    0.00    0.00    0.00    0.10
07:37:59 AM  all   82.87    0.00   16.88    0.00    0.00    0.10    0.00    0.00    0.00    0.15
07:38:04 AM  all   82.82    0.00   17.18    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:38:09 AM  all   82.80    0.00   17.05    0.00    0.00    0.10    0.00    0.00    0.00    0.05
07:38:14 AM  all   82.54    0.00   17.36    0.00    0.00    0.05    0.00    0.00    0.00    0.05
07:38:19 AM  all   82.59    0.00   17.31    0.00    0.00    0.05    0.00    0.00    0.00    0.05
07:38:24 AM  all   82.51    0.00   17.34    0.00    0.00    0.10    0.00    0.00    0.00    0.05
07:38:29 AM  all   82.64    0.00   17.21    0.00    0.00    0.05    0.00    0.00    0.00    0.10
07:38:34 AM  all   82.14    0.00   17.81    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:38:39 AM  all   82.33    0.00   17.47    0.00    0.00    0.15    0.00    0.00    0.00    0.05
07:38:44 AM  all   82.75    0.00   17.10    0.00    0.00    0.05    0.00    0.00    0.00    0.10
Average:     all   82.36    0.00   17.26    0.00    0.00    0.08    0.00    0.00    0.00    0.30
