Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

07:48:43 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:48:48 AM  all   23.46    0.00    5.29    0.00    0.00    1.32    0.00    0.00    0.00   69.92
07:48:53 AM  all   22.91    0.00    4.69    0.00    0.00    1.38    0.00    0.00    0.00   71.02
07:48:58 AM  all   22.54    0.00    4.79    0.00    0.00    1.58    0.00    0.00    0.00   71.09
07:49:03 AM  all   22.84    0.00    4.68    0.00    0.00    1.48    0.00    0.00    0.00   71.01
07:49:08 AM  all   23.33    0.00    5.05    0.00    0.00    1.48    0.00    0.00    0.00   70.14
07:49:13 AM  all   22.73    0.00    4.84    0.00    0.00    1.53    0.00    0.00    0.00   70.90
07:49:18 AM  all   22.63    0.00    4.55    0.00    0.00    1.53    0.00    0.00    0.00   71.30
07:49:23 AM  all   23.05    0.00    4.57    0.00    0.00    1.57    0.00    0.00    0.00   70.81
07:49:28 AM  all   22.41    0.00    4.80    0.00    0.00    1.48    0.00    0.00    0.00   71.31
07:49:33 AM  all   23.35    0.00    4.98    0.00    0.00    1.42    0.00    0.00    0.00   70.24
07:49:38 AM  all   21.33    2.84    5.23    0.00    0.00    1.47    0.00    0.00    0.00   69.12
07:49:43 AM  all   22.83    0.00    4.64    0.00    0.00    1.43    0.00    0.00    0.00   71.10
Average:     all   22.78    0.24    4.84    0.00    0.00    1.47    0.00    0.00    0.00   70.66
