Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

10:00:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:00:56 AM  all   27.28    0.00   13.56    0.00    0.00    1.48    0.00    0.00    0.00   57.68
10:01:01 AM  all   25.89    0.00   13.12    0.00    0.00    1.60    0.00    0.00    0.00   59.39
10:01:06 AM  all   26.25    0.00   13.25    0.00    0.00    1.79    0.00    0.00    0.00   58.70
10:01:11 AM  all   26.01    0.00   13.42    0.00    0.00    1.54    0.00    0.00    0.00   59.04
10:01:16 AM  all   25.40    0.00   13.57    0.00    0.00    1.48    0.00    0.00    0.00   59.55
10:01:21 AM  all   25.83    0.00   13.45    0.00    0.00    1.43    0.00    0.00    0.00   59.28
10:01:26 AM  all   26.42    0.00   13.54    0.00    0.00    1.84    0.00    0.00    0.00   58.20
10:01:31 AM  all   26.73    0.00   13.62    0.00    0.00    1.59    0.00    0.00    0.00   58.06
10:01:36 AM  all   25.97    0.00   13.73    0.00    0.00    1.59    0.00    0.00    0.00   58.71
10:01:41 AM  all   26.26    0.00   13.67    0.00    0.00    1.54    0.00    0.00    0.00   58.53
10:01:46 AM  all   25.93    0.00   13.73    0.00    0.00    1.58    0.00    0.00    0.00   58.75
10:01:51 AM  all   25.97    0.00   14.16    0.00    0.00    1.84    0.00    0.00    0.00   58.03
Average:     all   26.16    0.00   13.57    0.00    0.00    1.61    0.00    0.00    0.00   58.66
