Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

09:39:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:39:05 AM  all   81.61    0.00   15.14    0.00    0.00    0.15    0.00    0.00    0.00    3.10
09:39:10 AM  all   84.93    0.00   14.82    0.00    0.00    0.00    0.00    0.00    0.00    0.25
09:39:15 AM  all   85.35    0.00   14.35    0.00    0.00    0.05    0.00    0.00    0.00    0.25
09:39:20 AM  all   85.24    0.00   14.56    0.00    0.00    0.05    0.00    0.00    0.00    0.15
09:39:25 AM  all   85.00    0.00   14.75    0.00    0.00    0.00    0.00    0.00    0.00    0.25
09:39:30 AM  all   85.42    0.00   14.23    0.00    0.00    0.05    0.00    0.00    0.00    0.30
09:39:35 AM  all   85.70    0.00   14.05    0.00    0.00    0.00    0.00    0.00    0.00    0.25
09:39:40 AM  all   85.41    0.00   14.34    0.00    0.00    0.05    0.00    0.00    0.00    0.20
09:39:45 AM  all   85.84    0.00   14.06    0.00    0.00    0.00    0.00    0.00    0.00    0.10
09:39:50 AM  all   85.64    0.00   14.26    0.00    0.00    0.05    0.00    0.00    0.00    0.05
09:39:55 AM  all   85.16    0.00   14.54    0.00    0.00    0.10    0.00    0.00    0.00    0.20
09:40:00 AM  all   84.78    0.00   14.96    0.00    0.00    0.00    0.00    0.00    0.00    0.25
Average:     all   85.01    0.00   14.51    0.00    0.00    0.04    0.00    0.00    0.00    0.45
