Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

09:53:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:53:34 AM  all   25.80    0.00   12.77    0.00    0.00    1.84    0.00    0.00    0.00   59.58
09:53:39 AM  all   24.22    0.00   12.77    0.00    0.00    2.04    0.00    0.00    0.00   60.96
09:53:44 AM  all   25.26    0.00   12.73    0.00    0.00    2.20    0.00    0.00    0.00   59.82
09:53:49 AM  all   24.77    0.00   12.62    0.00    0.00    1.95    0.00    0.00    0.00   60.67
09:53:54 AM  all   24.44    0.00   12.76    0.00    0.00    2.20    0.00    0.00    0.00   60.60
09:53:59 AM  all   24.22    0.00   12.78    0.00    0.00    1.95    0.00    0.00    0.00   61.06
09:54:04 AM  all   24.63    0.00   13.06    0.00    0.00    1.95    0.00    0.00    0.00   60.37
09:54:09 AM  all   25.19    0.00   12.49    0.00    0.00    1.95    0.00    0.00    0.00   60.37
09:54:14 AM  all   25.04    0.00   12.57    0.00    0.00    2.05    0.00    0.00    0.00   60.34
09:54:19 AM  all   24.23    0.00   12.96    0.00    0.00    1.95    0.00    0.00    0.00   60.86
09:54:24 AM  all   25.26    0.00   13.09    0.00    0.00    1.94    0.00    0.00    0.00   59.71
09:54:29 AM  all   24.91    0.00   12.43    0.00    0.00    2.35    0.00    0.00    0.00   60.31
Average:     all   24.83    0.00   12.75    0.00    0.00    2.03    0.00    0.00    0.00   60.39
