Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

09:34:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:34:27 AM  all   81.81    0.00   14.99    0.00    0.00    0.00    0.00    0.00    0.00    3.20
09:34:32 AM  all   85.34    0.00   14.41    0.00    0.00    0.05    0.00    0.00    0.00    0.20
09:34:37 AM  all   85.29    0.00   14.51    0.00    0.00    0.05    0.00    0.00    0.00    0.15
09:34:42 AM  all   85.46    0.00   14.39    0.00    0.00    0.00    0.00    0.00    0.00    0.15
09:34:47 AM  all   85.09    0.00   14.81    0.00    0.00    0.05    0.00    0.00    0.00    0.05
09:34:52 AM  all   85.51    0.00   14.29    0.00    0.00    0.05    0.00    0.00    0.00    0.15
09:34:57 AM  all   85.29    0.00   14.51    0.00    0.00    0.00    0.00    0.00    0.00    0.20
09:35:02 AM  all   85.64    0.00   14.31    0.00    0.00    0.05    0.00    0.00    0.00    0.00
09:35:07 AM  all   85.11    0.00   14.69    0.00    0.00    0.10    0.00    0.00    0.00    0.10
09:35:12 AM  all   84.91    0.00   14.84    0.00    0.00    0.05    0.00    0.00    0.00    0.20
09:35:17 AM  all   84.98    0.00   14.71    0.00    0.00    0.05    0.00    0.00    0.00    0.25
09:35:22 AM  all   85.94    0.00   13.86    0.00    0.00    0.05    0.00    0.00    0.00    0.15
Average:     all   85.03    0.00   14.53    0.00    0.00    0.04    0.00    0.00    0.00    0.40
