Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

10:06:47 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:06:52 AM  all   19.94    4.54   10.91    0.00    0.00    1.22    0.00    0.00    0.00   63.39
10:06:57 AM  all   19.32    5.35   10.96    0.00    0.00    1.38    0.00    0.00    0.00   63.00
10:07:02 AM  all   19.09    4.76   10.13    0.00    0.00    1.07    0.00    0.00    0.00   64.94
10:07:07 AM  all   19.36    5.01   10.47    0.00    0.00    1.53    0.00    0.00    0.00   63.64
10:07:12 AM  all   18.84    6.79   10.77    0.00    0.00    1.12    0.00    0.00    0.00   62.48
10:07:17 AM  all   19.18    5.00   10.36    0.00    0.00    1.28    0.00    0.00    0.00   64.18
10:07:22 AM  all   19.77    5.16   10.57    0.00    0.00    1.28    0.00    0.00    0.00   63.23
10:07:27 AM  all   18.83    4.74   10.15    0.00    0.00    1.33    0.00    0.00    0.00   64.95
10:07:32 AM  all   22.21    4.58   10.29    0.00    0.00    1.32    0.00    0.00    0.00   61.59
10:07:37 AM  all   18.62    4.88   10.02    0.00    0.00    1.32    0.00    0.00    0.00   65.16
10:07:42 AM  all   18.67    4.88   10.17    0.00    0.00    1.22    0.00    0.00    0.00   65.06
10:07:47 AM  all   18.86    4.97   10.10    0.00    0.00    1.28    0.00    0.00    0.00   64.79
Average:     all   19.39    5.06   10.41    0.00    0.00    1.28    0.00    0.00    0.00   63.87
