Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

09:48:19 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:48:24 AM  all    9.80   71.46   15.89    0.00    0.00    0.05    0.00    0.00    0.00    2.80
09:48:29 AM  all    8.46   76.06   15.12    0.00    0.00    0.00    0.00    0.00    0.00    0.35
09:48:34 AM  all    9.16   76.68   14.01    0.00    0.00    0.05    0.00    0.00    0.00    0.10
09:48:39 AM  all    9.55   75.91   14.29    0.00    0.00    0.05    0.00    0.00    0.00    0.20
09:48:44 AM  all    8.81   76.83   14.26    0.00    0.00    0.00    0.00    0.00    0.00    0.10
09:48:49 AM  all    9.55   75.96   14.39    0.00    0.00    0.00    0.00    0.00    0.00    0.10
09:48:54 AM  all    9.00   76.55   14.20    0.00    0.00    0.10    0.00    0.00    0.00    0.15
09:48:59 AM  all    9.40   76.45   14.10    0.00    0.00    0.00    0.00    0.00    0.00    0.05
09:49:04 AM  all    9.01   76.77   14.12    0.00    0.00    0.00    0.00    0.00    0.00    0.10
09:49:09 AM  all    9.34   76.32   14.14    0.00    0.00    0.00    0.00    0.00    0.00    0.20
09:49:14 AM  all    9.66   76.11   14.12    0.00    0.00    0.00    0.00    0.00    0.00    0.10
09:49:19 AM  all    9.20   76.31   14.29    0.00    0.00    0.10    0.00    0.00    0.00    0.10
Average:     all    9.24   75.95   14.41    0.00    0.00    0.03    0.00    0.00    0.00    0.36
